telegram_id,tickets_count,username
1691654877,2,CIM_KAPTbI_BIO
7666681393,2,lD332
5131577573,2,Chapitos1k007
751421749,2,dduckmlg
1342189898,2,igor_kredut
1359547153,2,sshuraev
8001493033,2,rpacn
5281455046,2,MAGDII47
6225170855,2,NopeOriginal
5008618755,2,ermacie
1217297454,2,enottksjbsnwksb
1933267208,2,vktorya
8180412395,2,hilfigerTC
658549661,2,setup_3
6864499095,2,mustikxzz
1650854312,2,lunnik
1949073825,2,Pr0j3ct_x
5399487992,2,temaislands
1090656576,2,xjwj2
368975074,2,MiheyUA
1050657168,2,tthxc
7037972942,2,ownerg0d
1633516282,2,EntranceToParadise
515666751,2,alleythg
6793922165,2,KissedlFrog
886999412,2,popiliyman
577403557,2,Farm_Customs
426907115,2,Sevlenty
943554470,2,vajniyxuy
1156070847,2,Um1lz
1445166788,2,Berkuut
8083530806,2,xinq1
8036843539,2,KEW50
1678658693,2,SEES77
7366169215,2,islamque
5792429939,2,fluttershy019
5465002130,2,huxww
7800714183,2,novini9s
278025359,2,lexsoff
1065428176,2,Deadshogun
1472389064,2,Loncin_wolf
1245339902,2,kalashucshop
1129305545,2,sssurfpunkkk
5161366538,2,Akd0wii
253942828,2,smmcoru
8308845176,2,wsscoddd
1372507050,2,M_A_M_R
7441945436,2,graveyardxgodg
7165903599,2,k924k
139878006,2,swater666
1681621697,2,RUSSKII_DUKH
6967378105,2,dsflg
921083843,2,Lel1ky
6644676794,2,hea_zone
505050293,2,Turtle4Mp
7404869890,2,Ins1derTON
630104834,2,kyokaia
8231112720,2,fasgems
7558479501,2,PeachBoss
6642917480,2,tgnno
217601768,2,AndrewKrivous
94914410,2,manyrei
7507715167,2,Doverienasto
1393762407,2,Yarkiignom
1262275246,2,mrsmiler04
1932107348,2,R0NNY1337
551939617,2,waldinsamkiet
6299132311,2,Rostyanq
303184702,2,mojinto
1367668508,2,s666xx6
544240079,2,adolfhitlerkrasavchik
6753440800,2,Pkovy
691309881,2,callin1
913492435,2,M4K4R_25
5639293860,2,president_telegram_durov
8426998166,2,Gorro_95
1144357213,2,nhsunny1
5703196877,2,AiSe4ca
451290429,2,Veteran_rus
5335446,2,Izilist99
7365687706,2,Durovgear2
1737668585,2,grka8
5058879927,2,horrifiquee
6935054503,2,BehradBidarigh
7884336740,2,jokerzss
7567940081,2,arthurrrrrrs
1586190181,2,alirezaroyal_ir
8040434780,2,one_three1313
7389271426,2,v_urc
304169759,2,neogys
1611342336,2,operupolnomochennniyy
733037458,2,Naefli
6604194497,2,aedificant
733316977,2,m1reats
2132130595,2,altlatt
5245798519,2,whoaskedpro
7443083670,2,liuffa
6726858221,2,killtakee
1633638242,2,eeeksss
955398757,2,frisingov_nft
299225645,2,BUGROVF
5088763288,2,nugopac
730212540,2,fuckscamils
7561757115,2,iY_lII
5964079576,2,gerdekol
1997600690,2,morarox
8457468807,2,tg_versa
7614342098,2,LeysieYe01
7334592928,2,soxsal
1635230593,2,AlekseiAlekseevic
1727115466,2,eteters
7815061138,2,markett_fam
1191712207,2,fr1zty
598110173,2,sguhamakruha
7687943167,2,cvctcv
1166225181,2,oqerator
1351742669,2,sabamboay
5905114607,2,scamerSNG
450434212,2,thefrants
5561980856,2,huivortu13
5558642487,2,borisz3
8423291973,2,nelegaly_48
6556149989,2,babybeggi
765774773,2,Stanley_Snyder
1397390468,1,vish_viktor
6872250069,1,saint_member
5637089510,1,Unec_1
757671800,1,Dosya_E
497429605,1,dinoo
6652085778,1,usertelegram101
5046321832,1,Safics78
780826403,1,mikhee_v
6432049313,1,sendanal
5563804916,1,Liphsathy
1997826894,1,Delanets
92447789,1,BabkinaRadost
1859200148,1,wailane
5173096396,1,Mirby_ton
777565023,1,mirzoislom
1458939797,1,iksport2
411060997,1,aleks_stopudov
5804352822,1,AloBiznessDaDengi
1650952509,1,sashaaura
7900716552,1,usernettspend
638594210,1,lovvj
743042731,1,xoka_tg
1146382865,1,danilLytuch
5178582012,1,smiaou
718165422,1,bobikgav777
5288946574,1,kommdaTag
877444815,1,Xyindyk
7864765377,1,TgGiftResalee
1190754192,1,Corchun81
5202830746,1,soslan121
6929695832,1,jawellin
5864073953,1,yasimasik
2067380543,1,kortozshka
6388937711,1,tonbroker_primo
6319661389,1,AHOHUMEH
2099555593,1,dubeo
1635664828,1,scipay
755077392,1,solltaev
2022678164,1,makso5_5
7035011599,1,fuck812legion
776979326,1,AnanasWarrior
1434273130,1,PRIME1503M
7701684073,1,Loketot
809768099,1,kolotran
7752925644,1,Cherful_TG
774848687,1,kkuorf
5648030486,1,Kilkavsoys
683420896,1,un_anxious
1867446691,1,vomexo
1882301411,1,arnykopar202
1637131785,1,tmeRespect
5286703416,1,MibiDel28
5831835367,1,Vlad52513
1932145446,1,genius_mark
1610511386,1,mamau12_5
6015483871,1,merpule
351729059,1,CanYouFeel
459944157,1,dav449777
6738905628,1,fidls
1442007226,1,sharfikcrpt
616763323,1,yannixf
7736830543,1,userslark
6378102312,1,ununknownvoice17
5529857681,1,tsumakava
1648878260,1,tuesdaxx
1322639368,1,catcizee
1363290491,1,Whygsas
2067546599,1,IvanPromik
709877450,1,Hkmdhxk
1674862926,1,Teaser21
1381872398,1,onetda
722579317,1,INTERmight
1018713503,1,punchline_inv
6672668245,1,Rasx1t1tell
365901464,1,byasov
107311842,1,Dearmitt
5544928457,1,loryyyxcvv
855501824,1,Nottkirillx
680094693,1,DoBi033
1162715175,1,Ddmitriev95
861290953,1,rsv_crypto
1157679004,1,sankabelka228
690373331,1,Tenet37
5177310127,1,RakoselStudio
6936737041,1,Raimmo
472534831,1,c0llapse135
5599905833,1,niqoroff
8152055460,1,Biopsied
5280146856,1,Kaimt
6131180756,1,fkdlakdjhh
1348545203,1,noagaincodeine
929263443,1,KotKotetskiy
6789128239,1,BOPK_UAH
749832067,1,tootypo
5878515935,1,aannanane
6487036045,1,svyatly
633822213,1,velinetsm
654893113,1,uebalq
1998695459,1,D4D3K
986359078,1,richukkid
604108022,1,ErrorError8321
1447866390,1,s_a_h_u_r
514370451,1,krhsd
273095874,1,ImpStalker
7987088762,1,Ryma_official
1309736254,1,ogromnuy_bobr
1243097066,1,ifyfyl
567911841,1,KozyrnovWB
1990441725,1,Konogorov_garant
480423849,1,mmmixom
5679593544,1,sellbuyww
5238102497,1,Gafatullin
8073904809,1,FakeGuarantee
1810243075,1,potapovaaaaaaa
5193160321,1,perekot
